backtesting    | # CPUs: 5
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [70, 25], stopLoss 0.01) --- Ending Value: -7408613.459769551 --- Total win/loss 2/0, 6.18
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [60, 25], stopLoss 0.01) --- Ending Value: -41624833.43935862 --- Total win/loss 1/1, 1.09
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [65, 25], stopLoss 0.01) --- Ending Value: -18493618.39766866 --- Total win/loss 2/0, 15.67
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [70, 20], stopLoss 0.01) --- Ending Value: -2999852.6889017373 --- Total win/loss 1/1, -0.15
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [70, 30], stopLoss 0.001) --- Ending Value: -8895204.730662283 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [70, 25], stopLoss 0.001) --- Ending Value: -10671836.90248669 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [60, 25], stopLoss 0.001) --- Ending Value: -80350458.68556792 --- Total win/loss 2/0, 2.64
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [65, 25], stopLoss 0.001) --- Ending Value: -30402629.41371554 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 17, limits [70, 20], stopLoss 0.001) --- Ending Value: -10597373.762281477 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 30], stopLoss -0.01) --- Ending Value: -7921050.710793674 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 25], stopLoss -0.01) --- Ending Value: -9503312.006147832 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [60, 25], stopLoss -0.01) --- Ending Value: -74372209.53262842 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [65, 25], stopLoss -0.01) --- Ending Value: -27535824.466230378 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 18, limits [70, 20], stopLoss -0.01) --- Ending Value: -9534261.997643068 --- Total win/loss 1/0, 0
